representation,model,metric,estimate,ci_low,ci_high,bootstrap_replicates
sparse_phase_45,model3_grud,calibration_intercept,-1.922032471041217,-2.110510366101902,-1.741093275626025,2000
sparse_phase_45,model3_grud,calibration_slope,0.5298111831795174,0.4335563940412128,0.6257408044931488,2000
sparse_phase_59,model0_snapshot,auroc,0.7141117840798352,0.6752509064343702,0.7527677313191489,2000
sparse_phase_59,model0_snapshot,auprc,0.2125647692671849,0.1674060809334513,0.2683447133998929,2000
sparse_phase_59,model0_snapshot,brier,0.067731462419033,0.0597142186947166,0.0760239141061901,2000
sparse_phase_59,model0_snapshot,log_loss,0.251429945230484,0.2278334490954875,0.2756173186004161,2000
sparse_phase_59,model0_snapshot,calibration_intercept,-0.130284893127065,-0.2869067018500372,0.0126768039810678,2000
sparse_phase_59,model0_snapshot,calibration_slope,1.117854444459632,0.921179036009032,1.3318793250924006,2000
sparse_phase_59,model1_elastic_net,auroc,0.7551235397880766,0.71833132460497,0.7909110983244177,2000
sparse_phase_59,model1_elastic_net,auprc,0.2486545343982283,0.1994833600663895,0.3165986661003031,2000
sparse_phase_59,model1_elastic_net,brier,0.0658568441867828,0.0576198351569473,0.0740263754501938,2000
sparse_phase_59,model1_elastic_net,log_loss,0.2415023446083068,0.2173676948994398,0.2656590461730956,2000
sparse_phase_59,model1_elastic_net,calibration_intercept,-0.0877488420896822,-0.257160236287271,0.0636887914613832,2000
sparse_phase_59,model1_elastic_net,calibration_slope,0.9753036029330684,0.8119427736316357,1.166720361338136,2000
sparse_phase_59,model2_xgboost,auroc,0.7445643726793887,0.7063974841483068,0.7811506072819534,2000
sparse_phase_59,model2_xgboost,auprc,0.2516635458896311,0.2010731182570566,0.3183230016753227,2000
sparse_phase_59,model2_xgboost,brier,0.0654119253158569,0.0571360548958182,0.0735829327255487,2000
sparse_phase_59,model2_xgboost,log_loss,0.2416863292455673,0.2172541059553623,0.2668143793940544,2000
sparse_phase_59,model2_xgboost,calibration_intercept,-0.006969566184738,-0.1696388477866796,0.1406271716933508,2000
sparse_phase_59,model2_xgboost,calibration_slope,1.0795963872683336,0.9129713524186592,1.2551610380575955,2000
sparse_phase_59,model3_grud,auroc,0.7013532016726904,0.6627260128404459,0.7421313345178733,2000
sparse_phase_59,model3_grud,auprc,0.219874286060271,0.1709520376171128,0.280817405108857,2000
sparse_phase_59,model3_grud,brier,0.1311429453054687,0.122673105446806,0.1396981614737267,2000
sparse_phase_59,model3_grud,log_loss,0.4209258280586901,0.3989523142185275,0.4433979470861416,2000
sparse_phase_59,model3_grud,calibration_intercept,-1.9415808591446388,-2.14827278889684,-1.7547445286332215,2000
sparse_phase_59,model3_grud,calibration_slope,0.5074869621056695,0.4148076284308963,0.608111707292008,2000
