dataset,representation,model,curve,x,y
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.75,0.92071
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.76,0.92234
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.77,0.92396
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.78,0.92628
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.79,0.9288
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.8,0.93284
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.81,0.94145
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.82,0.94493
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.83,0.95278
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.84,0.96824
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.85,0.96965
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.86,0.97106
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.87,0.97247
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.88,0.97858
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.89,0.98005
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.9,0.98151
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.91,0.98297
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.92,0.98469
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.93,0.98673
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.94,0.98877
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.95,0.99533
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.96,0.99638
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.97,0.99743
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.98,0.99848
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,0.99,0.99953
SICdb external,SICdb_hourly_median,model0_snapshot,ROC,1.0,1.0
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.0,1.0
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.01,1.0
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.02,0.69167
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.03,0.58
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.04,0.56333
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.05,0.56893
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.06,0.58105
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.07,0.56696
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.08,0.43941
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.09,0.44214
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.1,0.44091
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.11,0.34522
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.12,0.31532
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.13,0.32413
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.14,0.32825
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.15,0.33943
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.16,0.35152
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.17,0.33378
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.18,0.33333
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.19,0.32887
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.2,0.32174
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.21,0.33007
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.22,0.33609
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.23,0.32782
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.24,0.30624
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.25,0.2803
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.26,0.26199
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.27,0.25166
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.28,0.25146
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.29,0.25713
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.3,0.25284
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.31,0.25297
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.32,0.24565
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.33,0.24812
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.34,0.2519
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.35,0.24977
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.36,0.24486
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.37,0.23396
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.38,0.23464
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.39,0.22739
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.4,0.2263
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.41,0.21945
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.42,0.22049
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.43,0.22146
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.44,0.22038
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.45,0.21779
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.46,0.20781
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.47,0.20811
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.48,0.20642
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.49,0.20449
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.5,0.19879
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.51,0.19028
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.52,0.18922
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.53,0.18982
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.54,0.18796
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.55,0.17836
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.56,0.17232
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.57,0.17397
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.58,0.17034
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.59,0.17077
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.6,0.17025
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.61,0.16901
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.62,0.16791
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.63,0.16706
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.64,0.16639
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.65,0.1661
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.66,0.16343
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.67,0.16404
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.68,0.1622
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.69,0.16088
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.7,0.15938
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.71,0.15696
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.72,0.15617
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.73,0.15378
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.74,0.15257
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.75,0.14842
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.76,0.1464
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.77,0.14345
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.78,0.12699
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.79,0.1269
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.8,0.12427
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.81,0.12419
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.82,0.1253
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.83,0.11857
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.84,0.11548
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.85,0.10534
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.86,0.10385
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.87,0.10349
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.88,0.10165
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.89,0.10204
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.9,0.09822
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.91,0.09436
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.92,0.09438
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.93,0.08997
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.94,0.08953
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.95,0.08832
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.96,0.08882
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.97,0.08769
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.98,0.08512
SICdb external,SICdb_hourly_median,model0_snapshot,PR,0.99,0.08149
SICdb external,SICdb_hourly_median,model0_snapshot,PR,1.0,0.07826
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.0,0.0
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.01,0.12089
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.02,0.17106
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.03,0.22796
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.04,0.26659
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.05,0.3033
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.06,0.32996
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.07,0.34079
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.08,0.36231
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.09,0.3897
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.1,0.43527
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.11,0.46703
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.12,0.49365
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.13,0.53279
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.14,0.55333
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.15,0.5752
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.16,0.60065
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.17,0.60855
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.18,0.62716
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.19,0.64473
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.2,0.65759
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.21,0.66412
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.22,0.68649
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.23,0.68961
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.24,0.69375
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.25,0.70375
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.26,0.73097
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.27,0.7444
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.28,0.74779
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.29,0.74976
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.3,0.75215
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.31,0.75624
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.32,0.75948
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.33,0.76291
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.34,0.77333
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.35,0.77742
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.36,0.78636
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.37,0.79597
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.38,0.79854
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.39,0.8019
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.4,0.80578
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.41,0.80766
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.42,0.80954
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.43,0.81123
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.44,0.81252
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.45,0.8138
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.46,0.81509
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.47,0.81996
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.48,0.82592
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.49,0.8332
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.5,0.83477
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.51,0.83635
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.52,0.83886
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.53,0.8527
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.54,0.86725
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.55,0.87061
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.56,0.87142
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.57,0.87223
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.58,0.87304
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.59,0.87385
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.6,0.87466
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.61,0.87547
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.62,0.87845
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.63,0.88536
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.64,0.89472
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.65,0.89925
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.66,0.90409
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.67,0.90685
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.68,0.91068
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.69,0.91483
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.7,0.91812
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.71,0.9248
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.72,0.93372
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.73,0.93702
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.74,0.93954
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.75,0.94365
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.76,0.94652
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.77,0.94755
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.78,0.94858
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.79,0.94961
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.8,0.95064
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.81,0.95682
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.82,0.95876
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.83,0.9607
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.84,0.96305
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.85,0.96664
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.86,0.97245
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.87,0.97928
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.88,0.98458
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.89,0.98616
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.9,0.98774
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.91,0.99082
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.92,1.0
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.93,1.0
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.94,1.0
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.95,1.0
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.96,1.0
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.97,1.0
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.98,1.0
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,0.99,1.0
SICdb external,SICdb_hourly_median,model1_elastic_net,ROC,1.0,1.0
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.0,1.0
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.01,0.64167
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.02,0.53
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.03,0.47955
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.04,0.53641
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.05,0.56893
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.06,0.61
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.07,0.6181
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.08,0.64901
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.09,0.649
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.1,0.6168
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.11,0.54957
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.12,0.50318
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.13,0.47832
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.14,0.44809
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.15,0.45676
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.16,0.45575
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.17,0.42938
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.18,0.39091
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.19,0.39233
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.2,0.39362
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.21,0.40113
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.22,0.40382
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.23,0.38044
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.24,0.3598
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.25,0.36
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.26,0.35603
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.27,0.35974
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.28,0.33972
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.29,0.34106
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.3,0.34265
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.31,0.33201
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.32,0.31796
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.33,0.31702
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.34,0.29289
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.35,0.27856
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.36,0.27704
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.37,0.26864
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.38,0.26801
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.39,0.26777
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.4,0.26429
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.41,0.26722
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.42,0.2684
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.43,0.26825
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.44,0.26708
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.45,0.26534
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.46,0.2666
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.47,0.25865
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.48,0.25755
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.49,0.25878
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.5,0.25552
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.51,0.25614
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.52,0.2582
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.53,0.25782
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.54,0.2535
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.55,0.25203
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.56,0.24515
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.57,0.24509
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.58,0.24398
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.59,0.24093
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.6,0.2413
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.61,0.23027
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.62,0.2269
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.63,0.22469
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.64,0.22281
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.65,0.21994
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.66,0.21567
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.67,0.21084
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.68,0.20802
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.69,0.20138
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.7,0.19174
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.71,0.19128
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.72,0.19215
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.73,0.19242
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.74,0.18901
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.75,0.17882
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.76,0.16638
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.77,0.16098
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.78,0.15687
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.79,0.15533
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.8,0.14904
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.81,0.1394
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.82,0.1284
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.83,0.1265
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.84,0.11989
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.85,0.11995
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.86,0.11984
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.87,0.11871
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.88,0.10638
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.89,0.10632
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.9,0.10452
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.91,0.10172
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.92,0.09939
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.93,0.09916
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.94,0.09666
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.95,0.09183
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.96,0.08934
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.97,0.0873
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.98,0.08678
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,0.99,0.08417
SICdb external,SICdb_hourly_median,model1_elastic_net,PR,1.0,0.08417
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.0,0.0
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.01,0.09239
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.02,0.14742
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.03,0.1889
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.04,0.21795
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.05,0.24104
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.06,0.27781
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.07,0.3204
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.08,0.34746
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.09,0.35964
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.1,0.37892
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.11,0.40099
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.12,0.41078
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.13,0.4317
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.14,0.45393
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.15,0.47685
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.16,0.51984
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.17,0.54658
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.18,0.56085
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.19,0.58386
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.2,0.58987
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.21,0.60171
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.22,0.62163
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.23,0.63131
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.24,0.63541
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.25,0.63887
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.26,0.64282
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.27,0.651
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.28,0.66316
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.29,0.68875
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.3,0.69431
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.31,0.70254
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.32,0.71175
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.33,0.72306
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.34,0.74113
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.35,0.74552
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.36,0.76876
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.37,0.77463
SICdb external,SICdb_hourly_median,model2_xgboost,ROC,0.38,0.77696
